Graph_Size,Run_1(ms),Run_2(ms),Run_3(ms),Run_4(ms),Run_5(ms),Mean(ms),Median(ms),StdDev(ms)
100,1.4862,0.2490,0.1929,0.1548,0.1627,0.4491,0.1929,0.5196
500,0.4864,0.3655,0.3675,0.3813,0.3607,0.3923,0.3675,0.0475
1000,0.5909,0.5341,0.5610,0.5424,0.5362,0.5529,0.5424,0.0212
5000,3.6354,3.3983,3.2370,3.1835,3.4403,3.3789,3.3983,0.1602
10000,7.8734,6.5788,7.0278,7.4047,6.3313,7.0432,7.0278,0.5555
