Graph_Size,Run_1(ms),Run_2(ms),Run_3(ms),Run_4(ms),Run_5(ms),Mean(ms),Median(ms),StdDev(ms)
100,0.5929,0.5472,0.5238,0.5241,0.4973,0.5370,0.5241,0.0321
500,5.1775,3.3120,3.6634,2.9775,2.8622,3.5985,3.3120,0.8375
1000,10.8507,11.9189,9.4925,10.3379,10.1079,10.5416,10.3379,0.8152
5000,295.6484,304.7554,310.9692,311.5583,501.7884,344.9439,310.9692,78.6311
10000,1406.5365,1409.4959,1417.0551,1398.6188,1400.6201,1406.4653,1406.5365,6.5889
