Graph_Size,Run_1(ms),Run_2(ms),Run_3(ms),Run_4(ms),Run_5(ms),Mean(ms),Median(ms),StdDev(ms)
100,0.6450,0.0887,0.1026,0.1356,0.1279,0.2200,0.1279,0.2132
500,0.2461,0.2626,0.2037,0.1959,0.1978,0.2212,0.2037,0.0277
1000,0.7388,0.6993,0.6936,0.6827,0.6379,0.6904,0.6936,0.0324
5000,1.5080,0.9408,0.8762,0.8716,0.8193,1.0032,0.8762,0.2553
10000,1.2915,1.2127,1.2116,1.2166,1.2123,1.2289,1.2127,0.0313
