Graph_Size,Run_1(ms),Run_2(ms),Run_3(ms),Run_4(ms),Run_5(ms),Mean(ms),Median(ms),StdDev(ms)
100,0.6711,0.8618,0.8827,0.8597,0.5743,0.7699,0.8597,0.1243
500,4.9103,2.0937,2.1007,2.0353,3.3537,2.8988,2.1007,1.1211
1000,13.8999,10.6201,9.9964,10.5774,10.3296,11.0847,10.5774,1.4250
5000,326.7673,335.1955,329.3586,327.3871,322.6016,328.2620,327.3871,4.1065
10000,1512.9064,1521.8165,1587.6289,1564.7824,1520.3655,1541.4999,1521.8165,29.3995
