Graph_Size,Run_1(ms),Run_2(ms),Run_3(ms),Run_4(ms),Run_5(ms),Mean(ms),Median(ms),StdDev(ms)
100,0.2671,0.2548,0.2354,0.2193,0.2142,0.2382,0.2354,0.0203
500,2.3469,1.9453,2.0497,2.1136,1.8954,2.0702,2.0497,0.1581
1000,7.0329,7.8074,4.7017,6.1059,4.7688,6.0833,6.1059,1.2257
5000,162.1135,165.9414,171.5279,162.5617,162.4877,164.9264,162.5617,3.5794
10000,650.7256,654.1443,643.8775,649.8010,646.4909,649.0078,649.8010,3.5389
