Graph_Size,Run_1(ms),Run_2(ms),Run_3(ms),Run_4(ms),Run_5(ms),Mean(ms),Median(ms),StdDev(ms)
100,0.7777,0.2141,0.1723,0.1291,0.1195,0.2825,0.1723,0.2498
500,0.4986,0.4898,0.4907,0.4848,0.4950,0.4918,0.4907,0.0047
1000,0.6348,0.6270,0.6095,0.6227,0.6201,0.6228,0.6227,0.0083
5000,4.7128,4.5604,4.5996,4.5529,4.5885,4.6028,4.5885,0.0576
10000,10.4582,10.0938,10.0972,9.8216,9.9727,10.0887,10.0938,0.2104
