Graph_Size,Run_1(ms),Run_2(ms),Run_3(ms),Run_4(ms),Run_5(ms),Mean(ms),Median(ms),StdDev(ms)
100,0.1600,0.1590,0.1662,0.1478,0.1523,0.1571,0.1590,0.0064
500,1.9217,1.5029,1.5893,1.5839,1.3670,1.5930,1.5839,0.1829
1000,8.9400,8.9888,6.8104,7.0960,6.9921,7.7655,7.0960,0.9833
5000,134.4869,134.7252,144.4501,174.7170,171.9057,152.0570,144.4501,17.7449
10000,948.9486,737.5569,719.7943,727.7233,720.2431,770.8532,727.7233,89.2807
