Graph_Size,Run_1(ms),Run_2(ms),Run_3(ms),Run_4(ms),Run_5(ms),Mean(ms),Median(ms),StdDev(ms)
100,0.7217,0.1577,0.1650,0.1541,0.1561,0.2710,0.1577,0.2254
500,0.3462,0.2499,0.2596,0.2554,0.3881,0.2998,0.2596,0.0566
1000,0.5299,0.5503,0.4654,0.5841,0.5187,0.5297,0.5299,0.0391
5000,3.7054,2.8401,2.7554,2.7146,2.6300,2.9291,2.7554,0.3940
10000,6.6714,5.5287,5.3520,5.3550,5.4393,5.6693,5.4393,0.5052
