Graph_Size,Run_1(ms),Run_2(ms),Run_3(ms),Run_4(ms),Run_5(ms),Mean(ms),Median(ms),StdDev(ms)
100,0.2785,0.2775,0.2783,0.2354,0.2493,0.2638,0.2775,0.0180
500,2.6930,2.1963,2.2267,2.2142,2.3991,2.3459,2.2267,0.1883
1000,4.1499,3.5310,3.6144,3.5115,3.5106,3.6635,3.5310,0.2462
5000,147.2134,145.5194,141.8988,144.5603,143.1997,144.4783,144.5603,1.8363
10000,594.1012,601.6292,615.1977,598.3464,598.1770,601.4903,598.3464,7.2577
