Graph_Size,Run_1(ms),Run_2(ms),Run_3(ms),Run_4(ms),Run_5(ms),Mean(ms),Median(ms),StdDev(ms)
100,0.4891,0.5771,0.5514,0.5188,0.5206,0.5314,0.5206,0.0302
500,4.7616,4.8105,3.7521,3.8937,5.6244,4.5684,4.7616,0.6830
1000,18.1718,17.9644,17.1608,17.4785,17.5049,17.6561,17.5049,0.3635
5000,605.5560,615.0799,691.7669,709.8909,686.1328,661.6853,686.1328,42.7760
10000,5094.0433,2644.6051,3221.1764,2971.3235,2647.7478,3315.7792,2971.3235,915.0479
